frame,J0_x,J0_y,J0_z,J1_x,J1_y,J1_z,J2_x,J2_y,J2_z,J3_x,J3_y,J3_z,J4_x,J4_y,J4_z,J5_x,J5_y,J5_z,J6_x,J6_y,J6_z,J7_x,J7_y,J7_z,J8_x,J8_y,J8_z,J9_x,J9_y,J9_z,J10_x,J10_y,J10_z,J11_x,J11_y,J11_z,J12_x,J12_y,J12_z,J13_x,J13_y,J13_z,J14_x,J14_y,J14_z,J15_x,J15_y,J15_z,J16_x,J16_y,J16_z,J17_x,J17_y,J17_z,J18_x,J18_y,J18_z,J19_x,J19_y,J19_z,J20_x,J20_y,J20_z,J21_x,J21_y,J21_z,J22_x,J22_y,J22_z,J23_x,J23_y,J23_z,J24_x,J24_y,J24_z
10,-0.008473,0.139215,1.036120,-0.019728,0.272056,1.022270,-0.102705,0.257796,0.539756,-0.147555,0.247420,0.060719,0.002476,0.006159,1.048000,-0.055424,-0.001973,0.561696,-0.127428,-0.016243,0.086084,-0.091089,0.144755,1.295930,-0.058737,0.150150,1.546470,-0.008082,0.148907,1.669690,-0.057731,0.147894,1.773420,-0.081874,0.290883,1.473770,-0.098234,0.361893,1.190640,-0.049517,0.408873,0.944228,-0.051570,0.003714,1.482200,-0.041590,-0.079719,1.202170,0.010964,-0.143107,0.960263,0.013202,0.273602,0.036709,0.086892,0.285896,0.030107,0.032764,-0.009365,0.048720,0.105428,-0.005994,0.030456,0.049934,0.413459,0.953631,-0.043506,0.457380,0.856987,0.110132,-0.141725,0.973066,0.027755,-0.200376,0.836390
11,-0.008361,0.139212,1.036090,-0.019533,0.272056,1.022210,-0.102664,0.257787,0.539727,-0.147555,0.247417,0.060693,0.002508,0.006152,1.048010,-0.055424,-0.001980,0.561711,-0.127463,-0.016248,0.086104,-0.091002,0.144638,1.295910,-0.058797,0.150169,1.546460,-0.008154,0.148889,1.669690,-0.057836,0.147872,1.773400,-0.081882,0.290915,1.473770,-0.098155,0.361957,1.190640,-0.049204,0.408982,0.944282,-0.051667,0.003709,1.482240,-0.041514,-0.079760,1.202220,0.011169,-0.143161,0.960350,0.013205,0.273606,0.036711,0.086895,0.285901,0.030107,0.032718,-0.009363,0.048695,0.105394,-0.006002,0.030476,0.050265,0.413445,0.953550,-0.043240,0.457362,0.856968,0.110308,-0.141658,0.973355,0.028281,-0.200423,0.836517
12,-0.008303,0.139201,1.036090,-0.019474,0.272046,1.022220,-0.102613,0.257789,0.539733,-0.147555,0.247429,0.060704,0.002565,0.006140,1.048000,-0.055406,-0.001992,0.561706,-0.127414,-0.016230,0.086093,-0.091026,0.144397,1.295880,-0.058785,0.150138,1.546430,-0.008233,0.148804,1.669690,-0.057929,0.147885,1.773390,-0.081947,0.290869,1.473730,-0.098048,0.361910,1.190590,-0.049040,0.408986,0.944257,-0.051637,0.003643,1.482280,-0.041399,-0.079833,1.202280,0.011430,-0.143252,0.960440,0.013212,0.273600,0.036749,0.086900,0.285888,0.030113,0.032774,-0.009365,0.048712,0.105442,-0.006004,0.030462,0.050418,0.413423,0.953661,-0.042946,0.457398,0.856969,0.110574,-0.141765,0.973415,0.028498,-0.200498,0.836594
13,-0.008257,0.139191,1.036090,-0.019424,0.272037,1.022220,-0.102533,0.257786,0.539727,-0.147554,0.247416,0.060706,0.002606,0.006130,1.047990,-0.055394,-0.002000,0.561702,-0.127414,-0.016230,0.086090,-0.090985,0.144230,1.295880,-0.058847,0.150096,1.546440,-0.008298,0.148790,1.669700,-0.058022,0.147907,1.773390,-0.081936,0.290809,1.473680,-0.097990,0.361884,1.190540,-0.048890,0.408981,0.944233,-0.051724,0.003604,1.482280,-0.041321,-0.079934,1.202300,0.011701,-0.143405,0.960519,0.013206,0.273604,0.036725,0.086896,0.285900,0.030118,0.032774,-0.009363,0.048711,0.105442,-0.006001,0.030462,0.050558,0.413362,0.953767,-0.042661,0.457447,0.856985,0.110847,-0.141958,0.973478,0.028729,-0.200559,0.836625
14,-0.008163,0.139159,1.036070,-0.019387,0.272004,1.022230,-0.102447,0.257779,0.539735,-0.147557,0.247412,0.060722,0.002756,0.006100,1.047940,-0.055429,-0.002029,0.561678,-0.127434,-0.016203,0.086062,-0.090995,0.144062,1.295840,-0.058953,0.150011,1.546400,-0.008420,0.148713,1.669670,-0.058073,0.147916,1.773400,-0.082039,0.290712,1.473620,-0.097764,0.361862,1.190490,-0.048627,0.409050,0.944201,-0.051719,0.003519,1.482260,-0.041156,-0.080081,1.202300,0.012016,-0.143611,0.960570,0.013207,0.273589,0.036759,0.086894,0.285878,0.030109,0.032761,-0.009362,0.048706,0.105430,-0.006010,0.030458,0.050835,0.413283,0.953655,-0.042403,0.457590,0.856993,0.111138,-0.141668,0.973649,0.029479,-0.200739,0.836724
15,-0.008163,0.139159,1.036070,-0.019387,0.272004,1.022230,-0.102447,0.257779,0.539735,-0.147557,0.247412,0.060722,0.002756,0.006100,1.047940,-0.055429,-0.002029,0.561678,-0.127434,-0.016203,0.086062,-0.090995,0.144062,1.295840,-0.058953,0.150011,1.546400,-0.008420,0.148713,1.669670,-0.058073,0.147916,1.773400,-0.082039,0.290712,1.473620,-0.097764,0.361862,1.190490,-0.048627,0.409050,0.944201,-0.051719,0.003519,1.482260,-0.041156,-0.080081,1.202300,0.012016,-0.143611,0.960570,0.013207,0.273589,0.036759,0.086894,0.285878,0.030109,0.032761,-0.009362,0.048706,0.105430,-0.006010,0.030458,0.050835,0.413283,0.953655,-0.042403,0.457590,0.856993,0.111138,-0.141668,0.973649,0.029479,-0.200739,0.836724
16,-0.007987,0.139114,1.036030,-0.019205,0.271955,1.022160,-0.102415,0.257735,0.539686,-0.147561,0.247393,0.060676,0.002929,0.006057,1.047940,-0.055379,-0.002047,0.561689,-0.127493,-0.016196,0.086089,-0.090885,0.144028,1.295770,-0.058998,0.149897,1.546360,-0.008521,0.148702,1.669660,-0.058111,0.147849,1.773410,-0.082017,0.290613,1.473590,-0.097622,0.361794,1.190460,-0.048539,0.409188,0.944200,-0.051729,0.003395,1.482250,-0.041094,-0.080311,1.202320,0.012241,-0.143863,0.960634,0.013200,0.273599,0.036719,0.086888,0.285901,0.030111,0.032694,-0.009345,0.048703,0.105370,-0.005997,0.030480,0.050929,0.413273,0.953653,-0.042246,0.457733,0.857001,0.111361,-0.142113,0.973756,0.029643,-0.201083,0.836822
17,-0.007987,0.139114,1.036030,-0.019205,0.271955,1.022160,-0.102415,0.257735,0.539686,-0.147561,0.247393,0.060676,0.002929,0.006057,1.047940,-0.055379,-0.002047,0.561689,-0.127493,-0.016196,0.086089,-0.090885,0.144028,1.295770,-0.058998,0.149897,1.546360,-0.008521,0.148702,1.669660,-0.058111,0.147849,1.773410,-0.082017,0.290613,1.473590,-0.097622,0.361794,1.190460,-0.048539,0.409188,0.944200,-0.051729,0.003395,1.482250,-0.041094,-0.080311,1.202320,0.012241,-0.143863,0.960634,0.013200,0.273599,0.036719,0.086888,0.285901,0.030111,0.032694,-0.009345,0.048703,0.105370,-0.005997,0.030480,0.050929,0.413273,0.953653,-0.042246,0.457733,0.857001,0.111361,-0.142113,0.973756,0.029643,-0.201083,0.836822
18,-0.007893,0.139041,1.036040,-0.019190,0.271877,1.022190,-0.102392,0.257697,0.539709,-0.147559,0.247397,0.060700,0.003102,0.005989,1.047930,-0.055280,-0.002071,0.561690,-0.127493,-0.016202,0.086105,-0.090838,0.143993,1.295770,-0.059014,0.149803,1.546370,-0.008594,0.148648,1.669680,-0.058170,0.147776,1.773450,-0.082081,0.290534,1.473640,-0.097683,0.361828,1.190530,-0.048572,0.409288,0.944293,-0.051803,0.003286,1.482280,-0.041157,-0.080498,1.202380,0.012225,-0.144164,0.960730,0.013200,0.273600,0.036725,0.086888,0.285901,0.030113,0.032690,-0.009355,0.048700,0.105366,-0.006011,0.030481,0.050894,0.413405,0.953755,-0.042287,0.457826,0.857089,0.111348,-0.142673,0.973860,0.029486,-0.201430,0.836920
19,-0.007820,0.138971,1.036050,-0.019179,0.271804,1.022220,-0.102359,0.257649,0.539737,-0.147554,0.247379,0.060729,0.003235,0.005923,1.047920,-0.055121,-0.002082,0.561675,-0.127486,-0.016259,0.086114,-0.090642,0.143975,1.295820,-0.059007,0.149779,1.546440,-0.008599,0.148638,1.669760,-0.058242,0.147710,1.773490,-0.082060,0.290517,1.473720,-0.097664,0.361850,1.190620,-0.048661,0.409467,0.944394,-0.051611,0.003290,1.482310,-0.040915,-0.080578,1.202440,0.012254,-0.144418,0.960786,0.013202,0.273584,0.036738,0.086888,0.285885,0.030098,0.032691,-0.009367,0.048694,0.105367,-0.006003,0.030473,0.050803,0.413576,0.953876,-0.042349,0.457947,0.857160,0.111372,-0.143033,0.973968,0.029513,-0.201831,0.837044
20,-0.007820,0.138971,1.036050,-0.019179,0.271804,1.022220,-0.102359,0.257649,0.539737,-0.147554,0.247379,0.060729,0.003235,0.005923,1.047920,-0.055121,-0.002082,0.561675,-0.127486,-0.016259,0.086114,-0.090642,0.143975,1.295820,-0.059007,0.149779,1.546440,-0.008599,0.148638,1.669760,-0.058242,0.147710,1.773490,-0.082060,0.290517,1.473720,-0.097664,0.361850,1.190620,-0.048661,0.409467,0.944394,-0.051611,0.003290,1.482310,-0.040915,-0.080578,1.202440,0.012254,-0.144418,0.960786,0.013202,0.273584,0.036738,0.086888,0.285885,0.030098,0.032691,-0.009367,0.048694,0.105367,-0.006003,0.030473,0.050803,0.413576,0.953876,-0.042349,0.457947,0.857160,0.111372,-0.143033,0.973968,0.029513,-0.201831,0.837044
21,-0.007762,0.138912,1.036060,-0.019160,0.271740,1.022210,-0.102373,0.257605,0.539734,-0.147541,0.247377,0.060724,0.003334,0.005867,1.047940,-0.055054,-0.002124,0.561692,-0.127469,-0.016262,0.086137,-0.090448,0.143911,1.295860,-0.058894,0.149739,1.546490,-0.008590,0.148561,1.669860,-0.058327,0.147637,1.773540,-0.082033,0.290454,1.473760,-0.097818,0.361937,1.190710,-0.048807,0.409578,0.944487,-0.051522,0.003227,1.482420,-0.040882,-0.080713,1.202560,0.012132,-0.144652,0.960903,0.013215,0.273591,0.036742,0.086900,0.285898,0.030112,0.032706,-0.009355,0.048706,0.105376,-0.005982,0.030467,0.050681,0.413532,0.953790,-0.042586,0.458163,0.857305,0.111292,-0.143547,0.973787,0.028851,-0.202198,0.837149
22,-0.007725,0.138846,1.036030,-0.019144,0.271674,1.022200,-0.102390,0.257559,0.539732,-0.147551,0.247360,0.060720,0.003390,0.005802,1.047900,-0.055026,-0.002169,0.561657,-0.127476,-0.016310,0.086108,-0.090250,0.143871,1.295890,-0.058898,0.149653,1.546550,-0.008592,0.148542,1.669920,-0.058380,0.147553,1.773570,-0.081970,0.290364,1.473790,-0.097786,0.361951,1.190760,-0.048992,0.409744,0.944526,-0.051517,0.003129,1.482500,-0.040990,-0.080897,1.202670,0.011914,-0.144945,0.961012,0.013212,0.273577,0.036786,0.086893,0.285878,0.030092,0.032707,-0.009366,0.048719,0.105374,-0.005970,0.030473,0.050500,0.413808,0.953736,-0.042911,0.458385,0.857365,0.111074,-0.143886,0.973905,0.028623,-0.202433,0.837229
23,-0.007725,0.138846,1.036030,-0.019144,0.271674,1.022200,-0.102390,0.257559,0.539732,-0.147551,0.247360,0.060720,0.003390,0.005802,1.047900,-0.055026,-0.002169,0.561657,-0.127476,-0.016310,0.086108,-0.090250,0.143871,1.295890,-0.058898,0.149653,1.546550,-0.008592,0.148542,1.669920,-0.058380,0.147553,1.773570,-0.081970,0.290364,1.473790,-0.097786,0.361951,1.190760,-0.048992,0.409744,0.944526,-0.051517,0.003129,1.482500,-0.040990,-0.080897,1.202670,0.011914,-0.144945,0.961012,0.013212,0.273577,0.036786,0.086893,0.285878,0.030092,0.032707,-0.009366,0.048719,0.105374,-0.005970,0.030473,0.050500,0.413808,0.953736,-0.042911,0.458385,0.857365,0.111074,-0.143886,0.973905,0.028623,-0.202433,0.837229
24,-0.007641,0.138725,1.036020,-0.019032,0.271554,1.022170,-0.102444,0.257483,0.539728,-0.147534,0.247356,0.060708,0.003446,0.005680,1.047900,-0.055128,-0.002272,0.561676,-0.127435,-0.016254,0.086100,-0.089913,0.143779,1.295960,-0.058806,0.149581,1.546640,-0.008568,0.148414,1.670040,-0.058448,0.147441,1.773650,-0.081885,0.290236,1.473780,-0.097624,0.361954,1.190780,-0.049207,0.410061,0.944530,-0.051434,0.003059,1.482590,-0.041026,-0.081038,1.202770,0.011604,-0.145230,0.961096,0.013223,0.273591,0.036765,0.086905,0.285903,0.030103,0.032755,-0.009362,0.048733,0.105412,-0.005980,0.030444,0.050277,0.414416,0.953695,-0.043308,0.458726,0.857370,0.110780,-0.143900,0.973832,0.028271,-0.202699,0.837299
25,-0.007597,0.138625,1.036010,-0.018983,0.271455,1.022170,-0.102436,0.257434,0.539736,-0.147535,0.247352,0.060716,0.003483,0.005579,1.047880,-0.055270,-0.002337,0.561682,-0.127459,-0.016195,0.086085,-0.089578,0.143583,1.296040,-0.058837,0.149531,1.546770,-0.008604,0.148317,1.670170,-0.058495,0.147387,1.773780,-0.081871,0.290156,1.473830,-0.097407,0.361942,1.190840,-0.049285,0.410431,0.944610,-0.051245,0.003035,1.482680,-0.040836,-0.081068,1.202870,0.011345,-0.145423,0.961139,0.013227,0.273572,0.036779,0.086908,0.285875,0.030090,0.032732,-0.009359,0.048714,0.105393,-0.006004,0.030432,0.050231,0.414723,0.953446,-0.043639,0.459042,0.857403,0.110553,-0.143771,0.973597,0.027849,-0.202933,0.837339
26,-0.007597,0.138625,1.036010,-0.018983,0.271455,1.022170,-0.102436,0.257434,0.539736,-0.147535,0.247352,0.060716,0.003483,0.005579,1.047880,-0.055270,-0.002337,0.561682,-0.127459,-0.016195,0.086085,-0.089578,0.143583,1.296040,-0.058837,0.149531,1.546770,-0.008604,0.148317,1.670170,-0.058495,0.147387,1.773780,-0.081871,0.290156,1.473830,-0.097407,0.361942,1.190840,-0.049285,0.410431,0.944610,-0.051245,0.003035,1.482680,-0.040836,-0.081068,1.202870,0.011345,-0.145423,0.961139,0.013227,0.273572,0.036779,0.086908,0.285875,0.030090,0.032732,-0.009359,0.048714,0.105393,-0.006004,0.030432,0.050231,0.414723,0.953446,-0.043639,0.459042,0.857403,0.110553,-0.143771,0.973597,0.027849,-0.202933,0.837339
27,-0.007843,0.138696,1.035990,-0.019293,0.271525,1.022190,-0.102428,0.257456,0.539697,-0.147531,0.247281,0.060679,0.003300,0.005652,1.047830,-0.055436,-0.002368,0.561623,-0.127503,-0.016286,0.086009,-0.089408,0.143427,1.296160,-0.058816,0.149433,1.546900,-0.008606,0.148259,1.670310,-0.058525,0.147337,1.773900,-0.081772,0.290038,1.473900,-0.096933,0.361816,1.190890,-0.049348,0.410780,0.944644,-0.051385,0.002945,1.482770,-0.040819,-0.081166,1.202970,0.011075,-0.145625,0.961205,0.013210,0.273575,0.036688,0.086895,0.285915,0.030109,0.032695,-0.009376,0.048679,0.105369,-0.005995,0.030458,0.050193,0.415127,0.953165,-0.044013,0.459480,0.857467,0.110282,-0.143864,0.973648,0.027624,-0.203079,0.837385
28,-0.007828,0.138614,1.035980,-0.019240,0.271445,1.022170,-0.102413,0.257424,0.539685,-0.147533,0.247297,0.060668,0.003277,0.005566,1.047820,-0.055500,-0.002419,0.561617,-0.127522,-0.016266,0.085995,-0.089189,0.143371,1.296210,-0.058798,0.149412,1.546980,-0.008582,0.148219,1.670380,-0.058547,0.147301,1.773950,-0.081738,0.289989,1.473910,-0.096789,0.361861,1.190920,-0.049424,0.410985,0.944665,-0.051346,0.002918,1.482870,-0.040858,-0.081219,1.203070,0.010801,-0.145793,0.961281,0.013222,0.273572,0.036747,0.086902,0.285899,0.030093,0.032680,-0.009372,0.048682,0.105355,-0.005997,0.030462,0.050104,0.415597,0.953201,-0.044213,0.459790,0.857539,0.110050,-0.144356,0.973431,0.026800,-0.203250,0.837390
29,-0.007680,0.138465,1.035950,-0.019006,0.271301,1.022120,-0.102378,0.257347,0.539670,-0.147535,0.247310,0.060654,0.003339,0.005412,1.047810,-0.055490,-0.002488,0.561617,-0.127470,-0.016215,0.085985,-0.089022,0.143296,1.296180,-0.058743,0.149370,1.546970,-0.008632,0.148148,1.670410,-0.058606,0.147235,1.773980,-0.081616,0.289982,1.473950,-0.096744,0.362018,1.191010,-0.049492,0.411287,0.944759,-0.051371,0.002850,1.482900,-0.040885,-0.081309,1.203110,0.010586,-0.145973,0.961311,0.013217,0.273581,0.036715,0.086902,0.285910,0.030114,0.032741,-0.009375,0.048698,0.105407,-0.006015,0.030440,0.050028,0.416079,0.953289,-0.044368,0.460042,0.857599,0.109839,-0.144588,0.973434,0.026522,-0.203411,0.837403
30,-0.007868,0.138480,1.035960,-0.019251,0.271315,1.022160,-0.102357,0.257353,0.539665,-0.147530,0.247280,0.060652,0.003208,0.005430,1.047790,-0.055551,-0.002494,0.561593,-0.127472,-0.016248,0.085953,-0.088983,0.143248,1.296270,-0.058696,0.149349,1.547050,-0.008564,0.148045,1.670480,-0.058648,0.147170,1.774000,-0.081515,0.289926,1.473950,-0.096719,0.362138,1.191050,-0.049585,0.411571,0.944814,-0.051333,0.002870,1.482900,-0.040966,-0.081325,1.203110,0.010300,-0.146078,0.961289,0.013223,0.273557,0.036722,0.086905,0.285885,0.030092,0.032742,-0.009371,0.048682,0.105411,-0.005996,0.030439,0.049950,0.416223,0.953256,-0.044479,0.460410,0.857701,0.109539,-0.144740,0.973531,0.026356,-0.203559,0.837416
31,-0.007738,0.138343,1.035950,-0.019052,0.271182,1.022130,-0.102342,0.257299,0.539661,-0.147538,0.247312,0.060648,0.003271,0.005289,1.047800,-0.055530,-0.002548,0.561598,-0.127519,-0.016225,0.085966,-0.088917,0.143199,1.296230,-0.058605,0.149334,1.547010,-0.008585,0.147979,1.670490,-0.058728,0.147118,1.773980,-0.081443,0.289943,1.473970,-0.096733,0.362299,1.191120,-0.049604,0.411872,0.944908,-0.051371,0.002829,1.482900,-0.041118,-0.081352,1.203100,0.010053,-0.146101,0.961260,0.013223,0.273565,0.036742,0.086904,0.285881,0.030084,0.032690,-0.009376,0.048670,0.105370,-0.006023,0.030465,0.049954,0.416280,0.953205,-0.044505,0.460692,0.857784,0.109297,-0.144779,0.973467,0.026053,-0.203633,0.837404
32,-0.007738,0.138343,1.035950,-0.019052,0.271182,1.022130,-0.102342,0.257299,0.539661,-0.147538,0.247312,0.060648,0.003271,0.005289,1.047800,-0.055530,-0.002548,0.561598,-0.127519,-0.016225,0.085966,-0.088917,0.143199,1.296230,-0.058605,0.149334,1.547010,-0.008585,0.147979,1.670490,-0.058728,0.147118,1.773980,-0.081443,0.289943,1.473970,-0.096733,0.362299,1.191120,-0.049604,0.411872,0.944908,-0.051371,0.002829,1.482900,-0.041118,-0.081352,1.203100,0.010053,-0.146101,0.961260,0.013223,0.273565,0.036742,0.086904,0.285881,0.030084,0.032690,-0.009376,0.048670,0.105370,-0.006023,0.030465,0.049954,0.416280,0.953205,-0.044505,0.460692,0.857784,0.109297,-0.144779,0.973467,0.026053,-0.203633,0.837404
